"course_name","number_of_credits","course_code","main_field_of_study","program_title"
"A Sustainable Future - Theory and Transdisciplinary Visions",15,"1GV199",NA,"Bachelor's Programme in Leadership – Quality Management – Improvement"
"A Sustainable Future - Transdisciplinary Practices",15,"1GV201",NA,"Bachelor's Programme in Leadership – Quality Management – Improvement"
"Accelerating Systems with Programmable Logic Components",10,"1DT109","Computer Science A1N, Embedded Systems A1N, Technology A1N","Master's Programme in Computer Science"
"Accelerating Systems with Programmable Logic Components",10,"1DT109","Computer Science A1N, Embedded Systems A1N, Technology A1N","Master's Programme in Embedded Systems"
"Accelerator Physics and Technology",10,"1FA330","Physics A1N","Master's Programme in Physics – Nuclear and Particle Physics"
"Accelerator-Based Programming",5,"1TD054","Computational Science A1F, Computer Science A1F","Master's Programme in Computational Science"
"Accelerator-Based Programming",5,"1TD054","Computational Science A1F, Computer Science A1F","Master's Programme in Computer Science"
"Accelerator-Based Programming",5,"1TD054","Computational Science A1F, Computer Science A1F","Master's Programme in Data Science – Data Engineering"
"Accelerators and Detectors",5,"1FA348","Physics A1F, Technology A1F","Master's Programme in Engineering Physics"
"Accelerators and Detectors",5,"1FA348","Physics A1F, Technology A1F","Master's Programme in Physics – Nuclear and Particle Physics"
"Accelerators and Detectors",5,"1FA348","Physics A1F, Technology A1F","Master's Programme in Quantum Technology"
"Additive Manufacturing",5,"1TM120","Technology G2F","Bachelor's Programme in Biomedical Engineering"
"Additive Manufacturing",5,"1TM009","Chemistry A1N, Materials Engineering A1F, Technology A1N","Master's Programme in Chemical Engineering"
"Additive Manufacturing",5,"1TM009","Chemistry A1N, Materials Engineering A1F, Technology A1N","Master's Programme in Materials Engineering"
"Additive Manufacturing",5,"1TM009","Chemistry A1N, Materials Engineering A1F, Technology A1N","Integrated Master's Programme in Materials Engineering"
"Additive Manufacturing in Industry - Project Course",5,"1TM124","Materials Engineering A1F","Master's Programme in Additive Manufacturing"
"Additive Manufacturing in Medicine",5,"1TM128","Materials Engineering A1F","Master's Programme in Additive Manufacturing"
"Additive Manufacturing in Medicine",5,"1TM128","Materials Engineering A1F","Master's Programme in Materials Engineering"
"Additive Manufacturing in Medicine",5,"1TM128","Materials Engineering A1F","Integrated Master's Programme in Materials Engineering"
"Additive Manufacturing in Metallic and Ceramic Materials",10,"1TM106","Materials Engineering A1F","Master's Programme in Additive Manufacturing"
"Additive Manufacturing in Metallic and Ceramic Materials",10,"1TM106","Materials Engineering A1F","Master's Programme in Chemical Engineering"
"Additive Manufacturing in Polymeric Materials",5,"1TM105","Materials Engineering A1N","Master's Programme in Additive Manufacturing"
"Additive Manufacturing in Polymeric Materials",5,"1TM105","Materials Engineering A1N","Master's Programme in Chemical Engineering"
"Advanced Applied Deep Learning in Physics and Engineering",5,"1FA006","Physics A1F, Technology A1F","Master's Programme in Physics – Geophysics"
"Advanced Applied Deep Learning in Physics and Engineering",5,"1FA006","Physics A1F, Technology A1F","Master's Programme in Physics – Meteorology and Climate Physics"
"Advanced Applied Deep Learning in Physics and Engineering",5,"1FA006","Physics A1F, Technology A1F","Master's Programme in Physics – Energy Physics"
"Advanced Applied Deep Learning in Physics and Engineering",5,"1FA006","Physics A1F, Technology A1F","Master's Programme in Physics – Nuclear and Particle Physics"
"Advanced Applied Deep Learning in Physics and Engineering",5,"1FA006","Physics A1F, Technology A1F","Master's Programme in Physics – Theoretical Physics: Quantum Fields and Strings"
"Advanced Applied Deep Learning in Physics and Engineering",5,"1FA006","Physics A1F, Technology A1F","Master's Programme in Physics – Astronomy and Space Physics"
"Advanced Battery Materials",5,"1KB747","Battery Technology A1F, Technology A1F","Master's Programme in Battery Technology and Energy Storage"
"Advanced Battery Materials",5,"1KB747","Battery Technology A1F, Technology A1F","Master's Programme in Chemical Engineering"
