"name","credits","code","level","url","location","teaching_form","pace_of_study","language_of_instruction","outline_url"
"Bachelor's Programme in Biology/Molecular Biology – Biology/Molecular Biology","180","TBM1K","Bachelor","https://www.uu.se/en/study/programme?query=TBM1K,BIOL","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3370"
"Bachelor's Programme in Biomedical Engineering","180","TME1Y","Bachelor","https://www.uu.se/en/study/programme?query=TME1Y","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3342"
"Bachelor's Programme in Chemistry","180","TKE1K","Bachelor","https://www.uu.se/en/study/programme?query=TKE1K","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3334"
"Bachelor's Programme in Computer Science","180","TDV1K","Bachelor","https://www.uu.se/en/study/programme?query=TDV1K","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3337"
"Bachelor's Programme in Construction Engineering","180","TBY1Y","Bachelor","https://www.uu.se/en/study/programme?query=TBY1Y","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3339"
"Bachelor's Programme in Earth Science – Earth Science","180","TGE1K","Bachelor","https://www.uu.se/en/study/programme?query=TGE1K,GEOV","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3263"
"Bachelor's Programme in Electrical Engineering","180","TEL1Y","Bachelor","https://www.uu.se/en/study/programme?query=TEL1Y","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3343"
"Bachelor's Programme in Energy Transition – Sustainability and Leadership","180","TEO1K","Bachelor","https://www.uu.se/en/study/programme/bachelors-programme-energy-transition-sustainability-and-leadership","Visby","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3285"
"Bachelor's Programme in Leadership - Quality Management - Improvement – Distance","180","TKV1K","Bachelor","https://www.uu.se/en/study/programme?query=TKV1K,DIST","Flexible","Distance learning","100%","Swedish","https://www.uu.se/en/study/outline?query=3382"
"Bachelor's Programme in Leadership – Quality Management – Improvement","180","TKV1K","Bachelor","https://www.uu.se/en/study/programme/bachelors-programme-leadership-quality-management-improvement","Visby","On-campus","100%","English","https://www.uu.se/en/study/outline?query=3383"
"Bachelor's Programme in Mathematics","180","TMA1K","Bachelor","https://www.uu.se/en/study/programme?query=TMA1K","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3338"
"Bachelor's Programme in Mechanical Engineering","180","TMA1Y","Bachelor","https://www.uu.se/en/study/programme?query=TMA1Y","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3341"
"Bachelor's Programme in Nuclear Engineering","60","TKK1Y","Bachelor","https://www.uu.se/en/study/programme?query=TKK1Y","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3340"
"Bachelor's Programme in Physics – Astronomy","180","TFY1K","Bachelor","https://www.uu.se/en/study/programme?query=TFY1K,ASTR","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3182"
"Bachelor's Programme in Physics – Physics","180","TFY1K","Bachelor","https://www.uu.se/en/study/programme?query=TFY1K,FYSI","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3183"
"Bachelor's Programme in Physics – Geophysics","180","TFY1K","Bachelor","https://www.uu.se/en/study/programme?query=TFY1K,GEOF","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3368"
"Bachelor's Programme in Physics – Meteorology and Climate Physics","180","TFY1K","Bachelor","https://www.uu.se/en/study/programme?query=TFY1K,MEKL","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3335"
"Bachelor's Programme in Physics – Meteorology","180","TFY1K","Bachelor","https://www.uu.se/en/study/programme?query=TFY1K,METE","Uppsala","On-campus","100%","Swedish","https://www.uu.se/en/study/outline?query=3185"
